!!SBtab SbtabVersion='1.0' TableType='Compound' TableName='C elegans metabolites'
!ID	!Name	!Location	!Charge	!Identifiers:chebi	!Identifiers:kegg.compound	!Identifiers:pubmed	!Identifiers:doi	!Identifiers:eco	!Comment	!Curator	!Notes:FORMULA	!Notes:InChI
M_n2m2masn_c	M_n2m2masn_c	((N-acetyl-D-glucosaminyl)2-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine residue	cytosol	0.0						changed the name from "XXX asparagine (protein)" to "XXX asparagine residue"	lenov															
M_mem2emgacpail_c	M_mem2emgacpail_c	({[(mannosyl),(phosphoethanolaminyl)]-dimannosyl},{phosphoethanolaminyl})-mannosyl-glucosaminyl-acylphosphatidylinositol (M4B)	cytosol	0.0																						
M_ggn_n	M_ggn_n	(1,4-alpha-D-glucosyl)n-glucosyl glucogenin	nucleus	0.0								(C6H10O5)n														
M_ggn_c	M_ggn_c	(1,4-alpha-D-glucosyl)n-glucosyl glucogenin	cytosol	0.0								(C6H10O5)n														
M_3hmrsACP_c	M_3hmrsACP_c	(3R)-3-hydroxymyristoyl-[acp]	cytosol	0.0																						
M_5lglup_c	M_5lglup_c	(5-L-glutamyl)-L-peptide	cytosol	0.0								C7H11N2O5R(C2H2NOR)n														
M_g1m8masn_c	M_g1m8masn_c	(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine residue	cytosol	0.0						changed the name from "XXX asparagine (protein)" to "XXX asparagine residue"	lenov															
M_g2m8mpdol_c	M_g2m8mpdol_c	(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol	cytosol	-2.0	CHEBI:458					added ChEBI ID	lenov															
M_g2m8masn_c	M_g2m8masn_c	(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine residue	cytosol	0.0						changed the name from "XXX asparagine (protein)" to "XXX asparagine residue"	lenov															
M_g3m8mpdol_c	M_g3m8mpdol_c	(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol	cytosol	-2.0	CHEBI:459					added ChEBI ID	lenov															
M_g3m8masn_c	M_g3m8masn_c	(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine residue	cytosol	0.0						changed the name from "XXX asparagine (protein)" to "XXX asparagine residue"	lenov															
M_g3m8masn_m	M_g3m8masn_m	(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine residue	mitochondrion	0.0						changed the name from "XXX asparagine (protein)" to "XXX asparagine residue"	lenov															
